Forecast Dates,Dec-23,Jan-24,Feb-24
15/12/2023,-0.06,-0.09,-0.05
22/12/2023,-0.06,-0.1,-0.05
29/12/2023,-0.04,-0.11,-0.07
05/01/2024,,-0.1,-0.19
