Forecast Dates,Dec-23,Jan-24,Feb-24
15/12/2023,-6.52,-19.61,24.36
22/12/2023,2.7,-36.62,33.46
29/12/2023,12.52,-39.94,69
05/01/2024,8.04,-15.26,14.36
