Forecast Dates,Dec-23,Jan-24,Feb-24
15/12/2023,398.01,-0.74,-107.35
22/12/2023,97.55,91.06,70.38
29/12/2023,125.78,215.35,122.4
05/01/2024,129.91,423.81,109.87
