Forecast Dates,Dec-23,Jan-24,Feb-24
15/12/2023,-0.36,0.15,0.4
22/12/2023,-0.47,0.25,0.41
29/12/2023,-0.55,0.24,0.41
05/01/2024,,-0.24,0.06
