Forecast Dates,Dec-23,Jan-24,Feb-24
22/12/2023,-0.1,-0.08,-0.23
29/12/2023,-0.13,-0.1,-0.25
05/01/2024,,-0.12,-0.18
12/01/2024,,-0.12,-0.2
