Forecast Dates,Dec-23,Jan-24,Feb-24
15/12/2023,-0.29,0.06,0.09
22/12/2023,-0.42,0.2,0.04
29/12/2023,-0.48,0.23,0.1
05/01/2024,,-0.24,0.07
