Forecast Dates,Dec-24,Jan-25,Feb-25
13/12/2024,0.14,0.13,0.05
20/12/2024,0.11,0.11,0.07
27/12/2024,0.12,0.11,0.08
03/01/2025,0.11,0.11,0.11
