Forecast Dates,Dec-24,Jan-25,Feb-25
13/12/2024,3.08,3.24,2.62
20/12/2024,3.05,3.14,2.62
27/12/2024,3.1,3.19,2.62
03/01/2025,2.66,2.47,2.61
